player_id,handle,discord_id,notes
5thstump,5thstump,,
aentity,Aentity,,
aggy,Aggy,,
ammonia,Ammonia,,
ankhas,Ankhas,,
arsenic,Arsenic,,
aussy,Aussy,,
bang_bang,Bang Bang,,
caita,Caita,,
camzy,Camzy,,
ceiza,Ceiza,,
chaddy,Chaddy,,
cheesey,Cheesey,,
chef_ram,Chef Ram,,
chuffy,Chuffy,,
clawssy,Clawssy,,
conr,Conr,,
creamy,Creamy,,
curnal,Curnal,,
delayed,Delayed,,
dolemite,Dolemite,,
drizzy,Drizzy,,
duq,Duq,,
dx,Dx,,
dyna,Dyna,,
dzire,Dzire,,
future,Future,,
garra,Garra,,
gooey,Gooey,,
guckie,Guckie,,
gzoumis,Gzoumis,,
haiyz,Haiyz,,
hardyy,Hardyy,,
hazard,Hazard,,
hi,Hi,,
hooli,Hooli,,
humz,Humz,,
ice,Ice,,
idrxp,iDrxp,,
inctz,Inctz,,
jatzy,Jatzy,,
jay,Jay,,
jdz,JDZ,,
jfiscal10,JFISCAL10,,
jords,Jords,,
k4ce,K4ce,,
kaiba,Kaiba,,
kenn,Kenn,,
kino,Kino,,
koby,Koby,,
lezafort,Lezafort,,
light,Light,,
lupin,Lupin,,
mamz_au,Mamz au,,
manemerc,ManeMerc,,
meataxe,Meataxe,,
minho,Minho,,
miss_fairy,Miss Fairy,,
monkey,Monkey,,
moose,Moose,,
mr_x,Mr. X,,
muk,Muk,,
mull,Mull,,
nazx,nazx,,
nicc,Nicc!,,
nzdee,nzdee,,
nzzl,Nzzl,,
obricks,Obricks,,
og,OG,,
onfleek,OnFleek,,
overtime_au,Overtime AU,,
quack,Quack,,
redshiftr,Redshiftr,,
rev,REV,,
rmax,Rmax,,
roccy,Roccy,,
rybug,Rybug,,
sass,Sass,,
shan0,Shan0,,
shiftey,Shiftey,,
sirdank,SirDank,,
skabenga,Skabenga,,
sleepy,Sleepy,,
snakey,Snakey,,
snowyy,Snowyy,,
spicy,Spicy,,
syzn,Syzn,,
termxi,Termxi,,
toji,Toji,,
trix,Trix,,
turbs,Turbs,,
unrivaled,Unrivaled,,
vgl_(swanny),Vgl (swanny),,
wai,Wai,,
willybee,Willybee,,
zag,Zag,,
zinc,Zinc,,
zmoney,Zmoney,,
