squad_id,label,player_id
T01,Lezafort x Lupin x ManeMerc,jfiscal10
T01,Lezafort x Lupin x ManeMerc,lezafort
T01,Lezafort x Lupin x ManeMerc,lupin
T01,Lezafort x Lupin x ManeMerc,manemerc
T02,Jay x Obricks x Garra,garra
T02,Jay x Obricks x Garra,jay
T02,Jay x Obricks x Garra,obricks
T03,Koby x Dyna x Vgl,dyna
T03,Koby x Dyna x Vgl,koby
T03,Koby x Dyna x Vgl,vgl_(swanny)
T04,Moose x Skabenga x Kenn,kenn
T04,Moose x Skabenga x Kenn,moose
T04,Moose x Skabenga x Kenn,skabenga
T05,Kaiba x Hazard x Quack,hazard
T05,Kaiba x Hazard x Quack,kaiba
T05,Kaiba x Hazard x Quack,quack
T06,Dolemite x Hi x ZaZa,dolemite
T06,Dolemite x Hi x ZaZa,hi
T06,Dolemite x Hi x ZaZa,toji
T07,Zag x Gooey x iDrxp,gooey
T07,Zag x Gooey x iDrxp,zag
T07,Zag x Gooey x iDrxp,idrxp
T08,Shan0 x Willybee x Mull,mull
T08,Shan0 x Willybee x Mull,shan0
T08,Shan0 x Willybee x Mull,willybee
T09,Hardyy x Spicy x Dzire,dzire
T09,Hardyy x Spicy x Dzire,hardyy
T09,Hardyy x Spicy x Dzire,spicy
T10,Ceiza x Mamz au x Aussy,aussy
T10,Ceiza x Mamz au x Aussy,ceiza
T10,Ceiza x Mamz au x Aussy,mamz_au
T10,Ceiza x Mamz au x Aussy,wai
T11,Minho x nzdee x Monkey,minho
T11,Minho x nzdee x Monkey,monkey
T11,Minho x nzdee x Monkey,nzdee
T12,Nzzl x Ammonia x Gzoumis,ammonia
T12,Nzzl x Ammonia x Gzoumis,gzoumis
T12,Nzzl x Ammonia x Gzoumis,nzzl
T13,Rybug x Mr. X x Camzy,camzy
T13,Rybug x Mr. X x Camzy,mr_x
T13,Rybug x Mr. X x Camzy,rybug
T14,Overtime AU x Future x Dx,dx
T14,Overtime AU x Future x Dx,future
T14,Overtime AU x Future x Dx,overtime_au
T15,Nicc! x Ice x K4ce,ice
T15,Nicc! x Ice x K4ce,k4ce
T15,Nicc! x Ice x K4ce,nicc
