map_no,squad_id,placement,squad_kills,squad_assists,squad_redeploys,squad_damage,confidence,evidence_url,note
1,T01,2,19,13,15,11884,C,,
2,T01,3,17,6,22,10717,C,,
3,T01,8,19,7,21,10306,C,,
4,T01,3,22,9,12,12677,C,,
5,T01,12,8,3,22,5688,C,,
6,T01,5,13,3,21,8301,C,,
7,T01,7,12,3,26,7686,C,,
8,T01,1,27,5,13,13778,C,,
9,T01,10,11,4,4,10559,C,,
1,T02,9,20,11,6,10087,C,,
2,T02,2,23,11,2,12303,C,,
3,T02,5,22,10,14,11758,C,,
4,T02,16,2,4,8,2073,C,,
5,T02,15,9,0,17,6209,C,,
6,T02,2,15,5,17,11463,C,,
7,T02,13,7,5,15,5479,C,,
8,T02,11,1,,,,C,,
9,T02,,,,,,W,,squad withdrew after M8 - map excluded from player medians
1,T03,7,13,6,20,9634,C,,
2,T03,12,18,3,9,8467,C,,
3,T03,1,42,22,11,17846,C,,
4,T03,1,21,11,28,12830,C,,
5,T03,16,5,3,11,3143,C,,
6,T03,12,16,9,12,9654,C,,
7,T03,11,8,4,19,5555,C,,
8,T03,8,5,4,30,5447,C,,
9,T03,1,16,7,9,9733,C,,
1,T04,4,22,4,16,11090,C,,
2,T04,10,14,11,13,9578,C,,
3,T04,9,15,1,39,9975,C,,
4,T04,6,22,8,22,,C,,
5,T04,2,19,18,17,10689,C,,
6,T04,10,14,6,22,8733,C,,
7,T04,2,33,16,17,15515,C,,
8,T04,4,9,4,2,6375,C,,
9,T04,2,12,6,20,7045,C,,
1,T05,11,8,1,11,5417,C,,
2,T05,9,4,3,28,3236,C,,
3,T05,6,3,4,21,3392,C,,
4,T05,9,5,4,17,2703,C,,
5,T05,3,14,3,14,9499,C,,
6,T05,4,10,1,14,5971,C,,
7,T05,12,6,,,,C,,
8,T05,5,10,,,,C,,
9,T05,8,8,,,,T,,
1,T06,1,20,5,19,9573,C,,
2,T06,7,14,8,22,8458,C,,
3,T06,10,17,7,13,8654,C,,
4,T06,15,4,4,15,3503,C,,
5,T06,9,18,7,7,10195,C,,
6,T06,7,16,6,21,10199,C,,
7,T06,8,18,8,7,8884,C,,
8,T06,15,0,,,,C,,
9,T06,4,10,,,,T,,
1,T07,16,2,2,0,800,C,,
2,T07,8,21,7,8,10858,C,,
3,T07,4,15,4,28,7855,C,,
4,T07,4,15,7,29,10617,C,,
5,T07,6,16,,,,T,,
6,T07,1,21,,,,T,,
7,T07,4,14,,,,T,,
8,T07,3,23,13,16,12814,C,,
9,T07,3,10,8,8,,C,,
1,T08,3,20,10,17,10772,C,,
2,T08,14,0,,,,C,,
3,T08,7,25,8,16,11613,C,,
4,T08,14,11,3,16,6231,C,,
5,T08,7,14,8,10,8847,C,,
6,T08,,,,,,W,,squad withdrew after M5 - map excluded from player medians
7,T08,,,,,,W,,squad withdrew after M5 - map excluded from player medians
8,T08,,,,,,W,,squad withdrew after M5 - map excluded from player medians
9,T08,,,,,,W,,squad withdrew after M5 - map excluded from player medians
1,T09,14,9,4,11,5042,C,,
2,T09,11,10,3,20,7572,C,,
3,T09,11,10,5,21,8116,C,,
4,T09,2,23,13,13,12926,C,,
5,T09,1,30,13,18,16109,C,,
6,T09,3,23,11,16,13330,C,,
7,T09,3,17,6,19,8543,C,,
8,T09,5,16,4,22,9668,C,,
9,T09,,,,,,W,,squad withdrew after M8 - map excluded from player medians
1,T10,5,5,2,26,2987,C,,
2,T10,13,4,2,17,2709,C,,
3,T10,3,3,4,21,4040,C,,
4,T10,5,6,3,20,4196,C,,
5,T10,4,4,,,,C,,
6,T10,8,2,,,,C,,
7,T10,,,,,,W,,squad withdrew after M6 - map excluded from player medians
8,T10,,,,,,W,,squad withdrew after M6 - map excluded from player medians
9,T10,,,,,,W,,squad withdrew after M6 - map excluded from player medians
1,T11,15,3,0,7,2736,C,,
2,T11,1,20,10,7,11643,C,,
3,T11,2,13,7,19,8803,C,,
4,T11,10,11,11,19,6536,C,,
5,T11,9,4,3,12,3827,C,,
6,T11,11,9,5,8,6455,C,,
7,T11,6,8,2,8,5495,C,,
8,T11,1,7,,,,T,,
9,T11,1,11,,,,T,,
1,T12,6,10,7,24,7433,C,,
2,T12,4,5,3,27,3756,C,,
3,T12,12,17,7,20,9373,C,,
4,T12,7,14,8,21,9965,C,,
5,T12,5,7,7,22,5905,C,,
