map_no,squad_id,row_type,in_game_name,player_id,kills_seen,assists,redeploys,damage,merge_status
1,T01,P,duq,duq,4,4,8,2625,written
1,T01,P,[zinc]poj,zinc,8,5,5,4862,written
1,T01,P,Snowyy,snowyy,7,4,2,4397,written
1,T01,TOTAL,,,19,13,15,11884,written
2,T01,P,[zinc]poj,zinc,8,2,6,4516,written
2,T01,P,Snowyy,snowyy,5,4,6,4140,written
2,T01,P,duq,duq,4,0,10,2061,written
2,T01,TOTAL,,,17,6,22,10717,written
3,T01,P,Snowyy,snowyy,10,2,6,4785,written
3,T01,P,[zinc]poj,zinc,6,3,2,3871,written
3,T01,P,duq,duq,3,2,13,1650,written
3,T01,TOTAL,,,19,7,21,10306,written
4,T01,P,[zinc]poj,zinc,9,5,3,4901,written
4,T01,P,Snowyy,snowyy,9,2,3,4358,written
4,T01,P,duq,duq,4,2,6,3418,written
4,T01,TOTAL,,,22,9,12,12677,written
5,T01,P,Snowyy,snowyy,4,0,6,2524,written
5,T01,P,[zinc]poj,zinc,3,2,6,2192,written
5,T01,P,duq,duq,1,1,10,972,written
5,T01,TOTAL,,,8,3,22,5688,written
6,T01,P,[zinc]poj,zinc,6,0,8,4431,written
6,T01,P,duq,duq,4,0,10,1691,written
6,T01,P,Snowyy,snowyy,3,3,3,2179,written
6,T01,TOTAL,,,13,3,21,8301,written
7,T01,P,duq,duq,4,1,11,2323,written
7,T01,P,[zinc]poj,zinc,2,2,10,1845,written
7,T01,P,Snowyy,snowyy,6,0,5,3518,written
7,T01,TOTAL,,,12,3,26,7686,written
8,T01,P,[zinc]poj,zinc,16,1,4,5370,written
8,T01,P,duq,duq,3,2,6,3884,written
8,T01,P,Snowyy,snowyy,8,2,3,4524,written
8,T01,TOTAL,,,27,5,13,13778,written
9,T01,P,duq,duq,1,2,2,2153,written
9,T01,P,[zinc]poj,zinc,5,1,2,4175,written
9,T01,P,Snowyy,snowyy,5,1,0,4231,written
9,T01,TOTAL,,,11,4,4,10559,written
1,T02,P,cregan,chef_ram,10,5,2,4502,written
1,T02,P,Turbs,turbs,5,4,2,2177,written
1,T02,P,[1UP+]SleepyAuz,sleepy,5,2,2,3408,written
1,T02,TOTAL,,,20,11,6,10087,written
2,T02,P,cregan,chef_ram,8,5,1,5409,written
2,T02,P,SleepyAuz,sleepy,8,5,0,3954,written
2,T02,P,Turbs,turbs,7,1,1,2940,written
2,T02,TOTAL,,,23,11,2,12303,written
3,T02,P,cregan,chef_ram,7,1,6,4178,written
3,T02,P,[1UP+]SleepyAuz,sleepy,8,5,5,4224,written
3,T02,P,Turbs,turbs,7,4,3,3356,written
3,T02,TOTAL,,,22,10,14,11758,written
4,T02,P,[1UP+]SleepyAuz,sleepy,0,3,3,597,written
4,T02,P,cregan,chef_ram,2,1,1,1237,written
4,T02,P,Turbs,turbs,0,0,4,239,written
4,T02,TOTAL,,,2,4,8,2073,written
5,T02,P,cregan,chef_ram,2,0,6,2275,written
5,T02,P,Turbs,turbs,4,0,7,1752,written
