map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
1,T01,vgl_(swanny),6,4,4,4119,C
1,T01,koby,5,4,4,3270,C
1,T01,mr_x,2,1,7,2048,C
2,T01,mr_x,4,1,9,2869,C
2,T01,koby,5,0,9,2231,C
2,T01,vgl_(swanny),1,0,8,1512,C
3,T01,koby,3,3,8,3096,C
3,T01,vgl_(swanny),3,1,5,1805,C
3,T01,mr_x,2,0,10,1156,C
4,T01,mr_x,1,0,1,535,C
4,T01,koby,6,0,2,2688,C
4,T01,vgl_(swanny),3,0,3,1953,C
5,T01,koby,3,2,10,2067,C
5,T01,mr_x,1,1,10,1149,C
5,T01,vgl_(swanny),3,0,4,957,C
6,T01,koby,11,2,6,5280,C
6,T01,vgl_(swanny),9,0,5,5239,C
6,T01,mr_x,1,0,5,1541,C
7,T01,koby,3,4,9,2946,C
7,T01,mr_x,1,1,7,1648,C
7,T01,vgl_(swanny),4,2,7,2248,C
8,T01,koby,1,,,,U
8,T01,vgl_(swanny),1,,,,U
8,T01,mr_x,0,,,,U
1,T02,rmax,2,3,1,1855,C
1,T02,chaddy,2,1,1,1009,C
1,T02,obricks,6,1,2,2677,C
2,T02,rmax,16,3,2,5264,C
2,T02,obricks,11,7,2,6405,C
2,T02,chaddy,1,2,2,1034,C
3,T02,rmax,11,4,2,7028,K
3,T02,chaddy,6,5,3,3972,C
3,T02,obricks,9,5,3,4617,C
4,T02,obricks,5,0,8,3308,C
4,T02,chaddy,2,2,8,2067,C
4,T02,rmax,2,2,3,1826,C
5,T02,obricks,10,6,6,5847,C
5,T02,rmax,10,0,4,4413,C
5,T02,chaddy,4,3,5,2577,C
6,T02,obricks,8,0,5,4217,C
6,T02,chaddy,3,2,6,1880,C
6,T02,rmax,1,2,5,2222,C
7,T02,rmax,12,2,3,6800,C
7,T02,chaddy,6,2,5,2330,C
7,T02,obricks,9,2,3,4559,C
8,T02,rmax,4,0,0,2329,C
8,T02,obricks,0,2,0,2619,C
8,T02,chaddy,0,1,0,707,C
1,T03,dolemite,6,2,5,5141,C
1,T03,roccy,1,0,10,1260,C
1,T03,jatzy,4,2,4,3647,C
2,T03,jatzy,10,1,6,4031,C
2,T03,roccy,0,3,10,1775,C
2,T03,dolemite,6,1,5,3987,C
3,T03,roccy,3,0,7,1979,C
3,T03,jatzy,4,1,5,2707,C
3,T03,dolemite,4,1,3,2481,C
4,T03,roccy,1,0,8,1212,C
4,T03,dolemite,6,3,6,3720,C
4,T03,jatzy,6,3,7,4889,C
5,T03,dolemite,0,1,0,210,C
5,T03,roccy,1,0,2,213,C
5,T03,jatzy,1,1,1,913,C
6,T03,jatzy,7,1,9,3339,C
6,T03,roccy,0,2,9,539,C
6,T03,dolemite,2,2,4,2257,C
7,T03,jatzy,11,5,1,6761,C
7,T03,dolemite,8,2,2,5699,C
7,T03,roccy,1,0,3,2286,C
8,T03,dolemite,2,,,,C
8,T03,jatzy,4,,,,C
8,T03,roccy,0,,,,C
1,T04,camzy,5,6,11,4009,C
1,T04,sirdank,5,1,11,3159,C
1,T04,duq,0,2,16,1142,C
2,T04,camzy,6,1,7,3009,C
2,T04,duq,0,0,11,956,C
2,T04,sirdank,2,3,5,1629,C
3,T04,sirdank,0,0,3,,C
3,T04,camzy,4,0,3,,C
3,T04,duq,1,0,1,,C
4,T04,camzy,5,4,4,3361,C
4,T04,duq,4,1,3,1177,C
4,T04,sirdank,1,3,7,3233,C
5,T04,duq,10,1,1,4041,C
