team,player,M1,M2,M3,M4,M5,M6,M7,M8,M9,total
Wakey x Mint x Nzzl,Wakey,13,13,3,8,3,16,7,6,8,77
Wakey x Mint x Nzzl,Mint,11,3,1,5,0,3,7,5,1,36
Wakey x Mint x Nzzl,Nzzl,2,7,0,3,0,5,0,2,2,21
Kenner x Cloudy x Kenn,Kenner,4,2,23,6,10,1,5,11,-,62
Kenner x Cloudy x Kenn,Cloudy,0,4,16,7,7,1,2,16,-,53
Kenner x Cloudy x Kenn,Kenn,0,0,1,1,0,0,0,5,-,7
6ixer x Faf x Pengie,Pengie,7,3,6,7,8,6,5,2,2,46
6ixer x Faf x Pengie,stiinger,0,5,5,6,6,5,2,2,4,35
6ixer x Faf x Pengie,Faf,2,2,3,2,5,5,1,1,0,21
Bray x Vague x Money Demon,bray,5,4,10,13,7,6,10,11,3,69
Bray x Vague x Money Demon,Vague,2,4,8,6,4,2,10,9,2,47
Bray x Vague x Money Demon,MONEYDEMON,0,1,4,0,3,1,1,2,1,13
Kalon x Drizzy x Roccy,Kalon,11,7,4,4,6,2,9,1,5,49
Kalon x Drizzy x Roccy,Drizzy,7,8,5,4,5,4,6,1,7,47
Kalon x Drizzy x Roccy,Roccy,1,3,0,1,3,0,1,0,2,11
Dynax Koby x NzDee,Dyna,10,3,4,5,6,3,8,4,3,46
Dynax Koby x NzDee,nzdee,6,6,2,1,5,1,3,4,5,33
Dynax Koby x NzDee,Koby,1,4,1,2,1,4,6,8,2,29
Chong Lee x Minho x Unrivaled,ChongLee,11,10,2,11,4,11,8,5,2,64
Chong Lee x Minho x Unrivaled,Unrivaled,3,7,3,1,5,13,3,4,8,47
Chong Lee x Minho x Unrivaled,Minho,0,2,1,0,2,2,6,0,2,15
Z x Camzy x Kaiba,Zmoney,11,8,9,5,6,11,5,1,1,57
Z x Camzy x Kaiba,Camzy,3,4,7,4,3,5,2,1,0,29
Z x Camzy x Kaiba,Splyce,7,-,-,-,-,4,1,0,0,12
Z x Camzy x Kaiba,Kaiba,-,3,3,1,2,-,-,-,-,9
Slight x Envious Jay x jdz,JDZ,4,10,-,8,2,6,5,8,-,43
Slight x Envious Jay x jdz,Jay,3,3,-,6,3,5,13,6,-,39
Slight x Envious Jay x jdz,slight,0,0,-,0,0,0,0,2,-,2
Dx x Hassi x Lgks,Hassi,8,1,2,4,9,2,1,4,12,43
Dx x Hassi x Lgks,Lgks,8,1,2,3,0,0,1,2,8,25
Dx x Hassi x Lgks,Dx,1,3,0,2,4,0,1,3,4,18
Light x Jatzy x Venqur,Light,2,0,5,2,1,10,2,3,6,31
Light x Jatzy x Venqur,Jatzy,2,0,2,0,0,3,2,6,7,22
Light x Jatzy x Venqur,Venqur,2,2,3,1,0,6,0,1,7,22
Zinc x Snowy x Hikkar,Snowyy,7,5,5,7,9,6,5,-,10,54
Zinc x Snowy x Hikkar,Zinc,8,3,9,7,4,2,13,-,3,49
Zinc x Snowy x Hikkar,Hikkar,1,0,0,0,2,3,5,-,2,13
ZaZa x Akhi x Hi,Hi,2,1,3,4,8,5,6,4,3,36
ZaZa x Akhi x Hi,zaza,2,1,2,3,3,4,6,3,2,26
ZaZa x Akhi x Hi,Akhi-,1,1,4,2,3,3,7,1,0,22
Leza x Manemerc x Jono,Lezafort,8,9,2,5,5,2,5,5,4,45
Leza x Manemerc x Jono,ManeMerc,0,3,2,3,4,5,3,6,2,28
Leza x Manemerc x Jono,JONO,0,4,2,0,2,4,3,9,3,27
Zealo x N31mak x 5th Stump,N31MAK,1,1,6,3,5,3,1,0,0,20
Zealo x N31mak x 5th Stump,zzeallo,3,1,7,3,2,2,1,0,0,19
Zealo x N31mak x 5th Stump,5thstump,4,1,5,1,1,3,1,0,0,16
Vibes x Cortez x Frenchy,Frenchy,3,5,2,4,0,0,-,2,0,16
Vibes x Cortez x Frenchy,Cortez,2,1,2,1,2,1,-,1,3,13
Vibes x Cortez x Frenchy,Vibes,2,1,1,1,0,0,-,3,4,12
