map_no,squad_id,source_file,row_type,in_game_name,kills_seen,assists,redeploys,damage
1,T01,077,P,[#30]wakey,13,5,2,6907
1,T01,077,P,Mint,11,4,3,4745
1,T01,077,P,nzzl,2,2,2,1833
1,T01,077,T,,26,11,7,13485
2,T01,095,P,nzzl,7,3,2,4023
2,T01,095,P,[#30]wakey,13,0,1,4525
2,T01,095,P,Mint,3,3,3,3533
2,T01,095,T,,23,6,6,12081
3,T01,097,P,[#30]wakey,3,1,5,2342
3,T01,097,P,Mint,1,2,6,1515
3,T01,097,P,nzzl,0,0,6,1220
3,T01,097,T,,4,3,17,5077
4,T01,099,P,[#30]wakey,8,1,2,3802
4,T01,099,P,Mint,5,5,2,4447
4,T01,099,P,nzzl,3,1,5,2578
4,T01,099,T,,16,7,9,10827
5,T01,121,P,[#30]wakey,3,0,2,1646
5,T01,121,P,nzzl,0,0,3,455
5,T01,121,P,Mint,0,0,3,27
5,T01,121,T,,3,0,8,2128
6,T01,101,P,[#30]wakey,16,4,5,7103
6,T01,101,P,nzzl,5,5,4,2404
6,T01,101,P,Mint,3,1,4,2229
6,T01,101,T,,24,10,13,11736
7,T01,102,P,[#30]wakey,7,5,3,5075
7,T01,102,P,Mint,7,3,5,3753
7,T01,102,P,nzzl,0,0,7,1233
7,T01,102,T,,14,8,15,10061
8,T01,144,P,[#30]wakey,6,5,4,5161
8,T01,144,P,Mint,5,1,3,2295
8,T01,144,P,nzzl,2,2,3,1664
8,T01,144,T,,13,8,10,9120
9,T01,146,P,[#30]wakey,8,0,4,4131
9,T01,146,P,nzzl,2,1,4,1034
9,T01,146,P,Mint,1,2,3,1743
9,T01,146,T,,11,3,11,6908
1,T02,127,P,Kenner,4,0,2,1754
1,T02,127,P,[+]Kenn,0,0,4,148
1,T02,127,P,[Ares]Cloudy,0,0,1,906
1,T02,127,T,,4,0,7,2808
2,T02,059,P,Kenner,2,0,7,4166
2,T02,059,P,[Ares]Cloudy,4,1,6,2817
2,T02,059,P,[+]Kenn,0,0,6,0
2,T02,059,T,,6,1,19,6983
3,T02,129,P,Kenner,23,5,8,10239
3,T02,129,P,[Ares]Cloudy,16,2,2,6971
3,T02,129,P,[+]Kenn,1,0,7,946
3,T02,129,T,,40,7,17,18156
4,T02,028,P,[Ares]Cloudy,7,2,2,4267
4,T02,028,P,Kenner,6,1,5,3763
4,T02,028,P,[+]Kenn,1,0,6,666
4,T02,028,T,,14,3,13,8696
5,T02,130,P,Kenner,10,5,7,4867
5,T02,130,P,[Ares]Cloudy,7,2,6,3462
5,T02,130,P,[+]Kenn,0,1,8,536
5,T02,130,T,,17,8,21,8865
6,T02,131,P,[+]Kenn,0,0,8,201
6,T02,131,P,Kenner,1,1,9,2046
6,T02,131,P,[Ares]Cloudy,1,0,5,1334
6,T02,131,T,,2,1,22,3581
7,T02,057,P,Kenner,5,1,5,2770
7,T02,057,P,[Ares]Cloudy,2,4,4,2486
7,T02,057,P,[+]Kenn,0,0,8,286
7,T02,057,T,,7,5,17,5542
8,T02,058,P,Kenner,11,5,5,5867
8,T02,058,P,[Ares]Cloudy,16,6,3,6934
8,T02,058,P,[+]Kenn,5,2,5,2735
8,T02,058,T,,32,13,13,15536
10,T02,128,P,Kenner,6,0,9,4477
10,T02,128,P,[Ares]Cloudy,0,2,5,1401
10,T02,128,P,[+]Kenn,0,0,8,209
10,T02,128,T,,6,2,22,6087
1,T03,109,P,[Bells]Pengie,7,1,5,3198
1,T03,109,P,[rin]Faf,2,1,9,1821
1,T03,109,P,[whos]stiinger,0,0,8,419
1,T03,109,T,,9,2,22,5438
2,T03,018,P,[whos]stiinger,5,2,7,2493
2,T03,018,P,[Bells]Pengie,3,1,2,2515
2,T03,018,P,[rin]Faf,2,2,8,2468
2,T03,018,T,,10,5,17,7476
3,T03,025,P,[whos]stiinger,5,3,6,3032
3,T03,025,P,[Bells]Pengie,6,2,8,2991
3,T03,025,P,[rin]Faf,3,3,4,1913
3,T03,025,T,,14,8,18,7936
4,T03,118,P,[whos]stiinger,6,0,5,3783
4,T03,118,P,[Bells]Pengie,7,1,4,3922
4,T03,118,P,[rin]Faf,2,4,6,1802
4,T03,118,T,,15,5,15,9507
5,T03,030,P,[rin]Faf,5,2,10,3184
5,T03,030,P,[Bells]Pengie,8,3,9,3909
5,T03,030,P,[whos]stiinger,6,3,4,3716
5,T03,030,T,,19,8,23,10809
6,T03,034,P,[Bells]Pengie,6,1,6,3527
6,T03,034,P,[whos]stiinger,5,1,6,3342
6,T03,034,P,[rin]Faf,5,1,10,3748
6,T03,034,T,,16,3,22,10617
7,T03,056,P,[rin]Faf,1,4,4,1767
7,T03,056,P,[Bells]Pengie,5,2,3,1656
7,T03,056,P,[whos]stiinger,2,2,3,1525
7,T03,056,T,,8,8,10,4948
8,T03,048,P,[whos]stiinger,2,1,4,1277
8,T03,048,P,[Bells]Pengie,2,2,4,1529
8,T03,048,P,[rin]Faf,1,1,2,748
8,T03,048,T,,5,4,10,3554
9,T03,055,P,[rin]Faf,0,3,4,989
9,T03,055,P,[Bells]Pengie,2,2,2,1563
9,T03,055,P,[whos]stiinger,4,0,3,1673
9,T03,055,T,,6,5,9,4225
10,T03,084,P,[Bells]Pengie,4,0,2,2249
10,T03,084,P,[rin]Faf,2,1,1,1407
10,T03,084,P,[whos]stiinger,1,3,1,1499
10,T03,084,T,,7,4,4,5155
1,T04,112,P,Vague,2,2,11,2179
1,T04,112,P,Bray,5,0,11,3849
1,T04,112,P,[bomb]DEMON,0,0,9,959
1,T04,112,T,,7,2,31,6987
2,T04,020,P,Vague,4,1,10,3638
2,T04,020,P,Bray,4,0,8,3536
2,T04,020,P,[bomb]DEMON,1,0,11,608
2,T04,020,T,,9,1,29,7782
3,T04,054,P,Bray,10,3,7,5451
3,T04,054,P,Vague,8,1,6,4517
3,T04,054,P,[bomb]DEMON,4,0,8,1836
3,T04,054,T,,22,4,21,11804
4,T04,029,P,Bray,13,1,5,5747
4,T04,029,P,Vague,6,4,7,4612
4,T04,029,P,[bomb]DEMON,0,0,8,381
4,T04,029,T,,19,5,20,10740
5,T04,031,P,Bray,7,2,12,5005
5,T04,031,P,Vague,4,0,8,2278
5,T04,031,P,[bomb]DEMON,3,0,11,1933
5,T04,031,T,,14,2,31,9216
6,T04,039,P,Bray,6,2,7,2583
6,T04,039,P,Vague,2,3,6,2493
6,T04,039,P,[bomb]DEMON,1,1,12,1103
6,T04,039,T,,9,6,25,6179
7,T04,103,P,Bray,10,4,3,4917
7,T04,103,P,Vague,10,3,5,5243
7,T04,103,P,[bomb]DEMON,1,3,6,2432
7,T04,103,T,,21,10,14,12592
8,T04,115,P,Bray,11,5,3,5600
8,T04,115,P,Vague,9,1,1,4164
8,T04,115,P,[bomb]DEMON,2,1,5,939
